Unnamed: 0,text,sentiment,label,cleaned_text
0,"module , ek program hoti hai , jismen ya to source code ya machine language ke form men instructions nihit hote hain.
",neutral,1,module ek program hoti hai jismen ya to source code ya machine language ke form men instructions nihit hote hain
1,"aur hamne aume samood ke pas unke bhaee saleh ko paimbar banakar bheja to unhonne apni aum se kaha ae meri aum uda hi ki parastish karo uske siva koee tumhara mabood nahin usi ne tumko zamin ki mitti se paida kiya aur tumko usmen basaya to usse maphirat ki duaa mgon phir uski bargah men tauba karo beshak mera paravardigar har shash ke rib aur sabki sunta aur duaa ubool karta hai
",positive,2,aur hamne aume samood ke pas unke bhaee saleh ko paimbar banakar bheja to unhonne apni aum se kaha ae meri aum uda hi ki parastish karo uske siva koee tumhara mabood nahin usi ne tumko zamin ki mitti se paida kiya aur tumko usmen basaya to usse maphirat ki duaa mgon phir uski bargah men tauba karo beshak mera paravardigar har shash ke rib aur sabki sunta aur duaa ubool karta hai
2,"aur jab unhen yad dilaya jata hai , to ve yad nahin karte ,
",neutral,1,aur jab unhen yad dilaya jata hai to ve yad nahin karte
3,"tumhen २०११ ka ted prize mil gaya hai
",positive,2,tumhen ka ted prize mil gaya hai
4,"unhonne bad science karne ke lie ye delhi university ke kirorimal college chale ge jahan inhonne vijnjan graduate ki degree prapt ki.
",neutral,1,unhonne bad science karne ke lie ye delhi university ke kirorimal college chale ge jahan inhonne vijnjan graduate ki degree prapt ki
5,"phir hamne unhen bheja, taki maloom karen ki calculate the length se kisne yad rakha hai ki kitni avdhi tak ve rahe
",positive,2,phir hamne unhen bheja taki maloom karen ki calculate the length se kisne yad rakha hai ki kitni avdhi tak ve rahe
6,"kya aap vakee raddi men sare photos and videos khiskana chahte hain
",neutral,1,kya aap vakee raddi men sare photos and videos khiskana chahte hain
7,"malabar men khudaee ke kamron men rakhe hue bare-bare bartan mile hain jinme shav rakhe jate the.
",neutral,1,malabar men khudaee ke kamron men rakhe hue barebare bartan mile hain jinme shav rakhe jate the
8,"aur dharti ko ek samatal desolate maidan banakar chhorega
",negative,0,aur dharti ko ek samatal desolate maidan banakar chhorega
9,"mujhe dekhne ke lie jab aap ऑnlain ho dhanyvad!
",positive,2,mujhe dekhne ke lie jab aap nlain ho dhanyvad
